ID,Content,ASIL,Rationale,Covers,State
SYS3_001,"THE SYSTEM ARCHITECTURE SHALL include a Vehicle Signal Interface component responsible for acquiring, validating (range, timeout, alive-counter, CRC), and providing vehicle CAN signals (vehicle speed, yaw rate, driver torque, steering angle, turn signal, brake status, accelerator pedal, wiper status) to downstream components.",ASIL D,"Consolidates all CAN input acquisition/validation behind one architectural boundary, matching the shared validation pattern across all vehicle signals.","SYS2_001,SYS2_002,SYS2_003,SYS2_004,SYS2_005,SYS2_006,SYS2_007,SYS2_008,SYS2_009",Draft
SYS3_002,"THE SYSTEM ARCHITECTURE SHALL include a Camera Perception Interface component responsible for receiving, decoding, and validating camera-derived perception data, including lane detection confidence, over the vehicle Ethernet interface within defined performance bounds.",ASIL B,Isolates the Ethernet/camera-specific ingestion path from the CAN-based Vehicle Signal Interface.,"SYS2_017,SYS2_011",Draft
SYS3_003,"THE SYSTEM ARCHITECTURE SHALL include a Lane Estimation component responsible for computing and validating lane geometry parameters (lane curvature, lateral offset, time-to-line-crossing, heading angle, lane width, and their derivatives) from perception and vehicle signal inputs.",ASIL B,Groups all derived lane-geometry computation and its internal plausibility checking in one component.,"SYS2_012,SYS2_013,SYS2_014,SYS2_023",Draft
SYS3_004,"THE SYSTEM ARCHITECTURE SHALL include a Lane Keeping Control component responsible for computing the lane keeping steering torque request, including PID control term calculation, output limiting, rate limiting, and saturation.",ASIL D,Isolates the core actuation control law as the highest-ASIL architectural element.,"SYS2_010,SYS2_023",Draft
SYS3_005,THE SYSTEM ARCHITECTURE SHALL include a Driver Override and Arbitration component responsible for detecting driver-applied steering torque and arbitrating between driver input and automated lane keeping torque requests.,ASIL D,Separates override/arbitration logic from the control-law computation for independent verification.,"SYS2_004,SYS2_024",Draft
SYS3_006,"THE SYSTEM ARCHITECTURE SHALL include a State Management component responsible for maintaining and transitioning the lane keeping assistance operating state (OFF, STANDBY, ACTIVE, OVERRIDE, FAULT) based on inputs from vehicle signals, lane estimation, and fault status.",ASIL B,Centralizes the state machine referenced by nearly every other component's behavior.,"SYS2_015,SYS2_024",Draft
SYS3_007,THE SYSTEM ARCHITECTURE SHALL include an HMI Warning Output component responsible for generating driver-facing status and warning indications corresponding to the current operating state and detected lane departure conditions.,ASIL B,Isolates driver-facing output generation from internal state/control logic.,SYS2_016,Draft
SYS3_008,"THE SYSTEM ARCHITECTURE SHALL include a Diagnostic and DTC Manager component responsible for detecting, classifying, and recording diagnostic trouble codes for all safety-relevant malfunctions.",ASIL B,Centralizes DTC handling referenced by fault-detection logic across all other components.,SYS2_022,Draft
SYS3_009,"THE SYSTEM ARCHITECTURE SHALL include a Timing and Scheduling component responsible for executing the control loop at a fixed bounded period, monitoring end-to-end latency, and detecting processing overload conditions.",ASIL D,Deterministic scheduling is an architectural concern shared across all real-time components.,"SYS2_018,SYS2_019",Draft
SYS3_010,THE SYSTEM ARCHITECTURE SHALL include a Communication Bus Manager component responsible for managing outbound communication bus utilization within defined limits.,QM,Isolates bus-load management as a distinct non-functional architectural concern.,SYS2_021,Draft
SYS3_011,THE SYSTEM ARCHITECTURE SHALL include a System Initialization Manager component responsible for executing power-on/wake-up initialization and reaching a defined ready state within a bounded time.,ASIL B,Startup behavior is architecturally distinct from steady-state control/monitoring.,SYS2_020,Draft
SYS3_012,THE SYSTEM ARCHITECTURE SHALL include an independent Safety Monitor component responsible for aggregating fault conditions detected across all other components and enforcing transition to the defined safe state.,ASIL D,Independent safety monitoring is required so no single component's fault-handling logic is a single point of failure for the overall safe-state guarantee.,"SYS2_002,SYS2_003,SYS2_005,SYS2_007,SYS2_019,SYS2_023,SYS2_024",Draft
